anomalias_log1p,fallas_tcp_bin,anomalia_lag_1,tcp_lag_1,anomalia_lag_2,tcp_lag_2,anomalia_lag_3,tcp_lag_3,anomalia_lag_5,tcp_lag_5,anomalia_lag_10,tcp_lag_10,anomalia_lag_15,tcp_lag_15,anomalia_lag_30,tcp_lag_30,anomalia_lag_60,tcp_lag_60,anomalia_roll_3,anomalia_roll_5,anomalia_roll_10,anomalia_roll_20,tcp_roll_3,tcp_roll_5,anomalia_diff,tcp_diff
0.41554876371275956,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054521600561297,0.5813953488372093
0.27627715292210653,0.03225806451612903,0.4635520350306931,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4171590265120654,0.5348837209302326
0.6268881940968326,0.29032258064516125,0.3357193476344696,0.03225806451612903,0.4635520350306931,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076482802602995,0.0,0.0,0.0,0.18840579710144925,0.0,0.7277268024238125,0.7674418604651163
0.7710394278330706,0.6129032258064516,0.6575333294625679,0.29032258064516125,0.3357193476344696,0.03225806451612903,0.4635520350306931,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213505415708186,0.0,0.0,0.0,0.42028985507246375,0.0,0.5968387969921152,0.813953488372093
0.7418203626941858,0.3870967741935484,0.7898448572417898,0.6129032258064516,0.6575333294625679,0.29032258064516125,0.3357193476344696,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7702526676500797,0.6488388970768798,0.0,0.0,0.5797101449275363,0.49438202247191015,0.4869283359566284,0.4186046511627907
0.6571937114665789,0.22580645161290322,0.7630256684731365,0.3870967741935484,0.7898448572417898,0.6129032258064516,0.6575333294625679,0.29032258064516125,0.4635520350306931,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7799457656774281,0.6966550115148882,0.0,0.0,0.5507246376811594,0.5393258426966292,0.45180194250061106,0.4651162790697675
0.0,0.03225806451612903,0.6853497358810366,0.22580645161290322,0.7630256684731365,0.3870967741935484,0.7898448572417898,0.6129032258064516,0.3357193476344696,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333319010879529,0.6419859605641973,0.0,0.0,0.2898550724637681,0.5393258426966292,0.08881526039350152,0.4418604651162791
0.6843217715603352,0.3870967741935484,0.08213392039835016,0.03225806451612903,0.6853497358810366,0.22580645161290322,0.7630256684731365,0.3870967741935484,0.6575333294625679,0.29032258064516125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149412076213161,0.6533507771602258,0.0,0.0,0.2898550724637681,0.5730337078651685,0.9392872627053652,0.8372093023255814
0.6843217715603352,0.3548387096774194,0.7102496620464908,0.3870967741935484,0.08213392039835016,0.03225806451612903,0.6853497358810366,0.22580645161290322,0.7898448572417898,0.6129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5236180086992309,0.6361912982856361,0.0,0.0,0.34782608695652173,0.4831460674157303,0.5054521600561297,0.5581395348837209
0.573535090412219,0.1935483870967742,0.7102496620464908,0.3548387096774194,0.7102496620464908,0.3870967741935484,0.08213392039835016,0.03225806451612903,0.7630256684731365,0.3870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7070609041186509,0.6028914179758533,0.6763245175068633,0.0,0.42028985507246375,0.4157303370786517,0.4352174354199816,0.4651162790697675
