minute,anomalias_por_minuto,fallas_tcp_bin,anomalias_log1p,anomalia_lag_1,tcp_lag_1,anomalia_lag_2,tcp_lag_2,anomalia_lag_3,tcp_lag_3,anomalia_lag_5,tcp_lag_5,anomalia_lag_10,tcp_lag_10,anomalia_lag_15,tcp_lag_15,anomalia_lag_30,tcp_lag_30,anomalia_lag_60,tcp_lag_60,anomalia_roll_3,anomalia_roll_5,anomalia_roll_10,anomalia_roll_20,tcp_roll_3,tcp_roll_5,anomalia_diff,tcp_diff
2025-11-29 03:11:00,49,3,3.912023005428146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 03:12:00,16,1,2.833213344056216,3.912023005428146,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0788096613719298,-2.0
2025-11-29 03:13:00,256,9,5.54907608489522,2.833213344056216,1.0,3.912023005428146,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0981041447931945,0.0,0.0,0.0,4.333333333333333,0.0,2.715862740839004,8.0
2025-11-29 03:14:00,784,19,6.665683717782408,5.54907608489522,9.0,2.833213344056216,1.0,3.912023005428146,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.015991048911282,0.0,0.0,0.0,9.666666666666666,0.0,1.1166076328871881,10.0
2025-11-29 03:15:00,625,12,6.439350371100098,6.665683717782408,19.0,5.54907608489522,9.0,2.833213344056216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.218036724592576,5.0798693046524175,0.0,0.0,13.333333333333334,8.8,-0.22633334668230987,-7.0
2025-11-29 03:16:00,324,7,5.783825182329737,6.439350371100098,12.0,6.665683717782408,19.0,5.54907608489522,9.0,3.912023005428146,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.296286423737414,5.454229740032735,0.0,0.0,12.666666666666666,9.6,-0.655525188770361,-5.0
2025-11-29 03:17:00,1,1,0.6931471805599453,5.783825182329737,7.0,6.439350371100098,12.0,6.665683717782408,19.0,2.833213344056216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.305440911329927,5.026216507333482,0.0,0.0,6.666666666666667,9.6,-5.090678001769792,-6.0
2025-11-29 03:27:00,400,12,5.993961427306569,0.6931471805599453,1.0,5.783825182329737,7.0,6.439350371100098,12.0,5.54907608489522,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.156977930065417,5.115193575815751,0.0,0.0,6.666666666666667,10.2,5.300814246746624,11.0
2025-11-29 03:28:00,400,11,5.993961427306569,5.993961427306569,12.0,0.6931471805599453,1.0,5.783825182329737,7.0,6.665683717782408,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.227023345057694,4.980849117720584,0.0,0.0,8.0,8.6,0.0,-1.0
2025-11-29 03:29:00,169,6,5.135798437050262,5.993961427306569,11.0,5.993961427306569,12.0,0.6931471805599453,1.0,6.439350371100098,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.707907097221134,4.720138730910617,4.900004017781518,0.0,9.666666666666666,7.4,-0.8581629902563073,-5.0
2025-11-29 03:30:00,25,3,3.258096538021482,5.135798437050262,6.0,5.993961427306569,11.0,5.993961427306569,12.0,5.783825182329737,7.0,3.912023005428146,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.795952134126105,4.214993002048966,4.834611371040851,0.0,6.666666666666667,6.6,-1.87770189902878,-3.0
2025-11-29 03:31:00,100,4,4.61512051684126,3.258096538021482,3.0,5.135798437050262,6.0,5.993961427306569,11.0,0.6931471805599453,1.0,2.833213344056216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.336338497304335,4.999387669305229,5.012802088319355,0.0,4.333333333333333,7.2,1.3570239788197775,1.0
2025-11-29 03:32:00,484,9,6.184148890937483,4.61512051684126,4.0,3.258096538021482,3.0,5.135798437050262,6.0,5.993961427306569,12.0,5.54907608489522,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685788648600075,5.037425162031411,5.076309368923582,0.0,5.333333333333333,6.6,1.5690283740962236,5.0
2025-11-29 03:33:00,36,2,3.6109179126442243,6.184148890937483,9.0,4.61512051684126,4.0,3.258096538021482,3.0,5.993961427306569,11.0,6.665683717782408,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.803395773474323,4.560816459098943,4.770832788409763,0.0,5.0,4.8,-2.573230978293259,-7.0
2025-11-29 03:34:00,9,1,2.302585092994046,3.6109179126442243,2.0,6.184148890937483,9.0,4.61512051684126,4.0,5.135798437050262,6.0,6.439350371100098,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.032550632191918,3.9941737902876993,4.357156260599158,0.0,4.0,3.8,-1.3083328196501784,-1.0
2025-11-29 03:39:00,16,3,2.833213344056216,2.302585092994046,1.0,3.6109179126442243,2.0,6.184148890937483,9.0,3.258096538021482,3.0,5.783825182329737,7.0,3.912023005428146,3.0,0.0,0.0,0.0,0.0,2.9155721165648285,3.909197151494646,4.062095076771806,0.0,2.0,3.8,0.5306282510621703,2.0
2025-11-29 03:40:00,625,4,6.439350371100098,2.833213344056216,3.0,2.302585092994046,1.0,3.6109179126442243,2.0,4.61512051684126,4.0,0.6931471805599453,1.0,2.833213344056216,1.0,0.0,0.0,0.0,0.0,3.8583829360501203,4.274043122346414,4.636715395825822,0.0,2.6666666666666665,3.8,3.606137027043882,1.0
2025-11-29 03:41:00,2025,13,7.613818684808629,6.439350371100098,4.0,2.833213344056216,3.0,2.302585092994046,1.0,6.184148890937483,9.0,5.993961427306569,12.0,5.54907608489522,9.0,0.0,0.0,0.0,0.0,5.628794133321648,4.559977081120643,4.798701121576027,0.0,6.666666666666667,4.6,1.1744683137085303,9.0
2025-11-29 03:42:00,2704,13,7.902857191280582,7.613818684808629,13.0,6.439350371100098,4.0,2.833213344056216,3.0,3.6109179126442243,2.0,5.993961427306569,11.0,6.665683717782408,19.0,0.0,0.0,0.0,0.0,7.31867541572977,5.418364936847913,4.989590697973428,0.0,10.0,6.8,0.28903850647195295,0.0
2025-11-29 03:43:00,2450,9,7.804251383528112,7.902857191280582,13.0,7.613818684808629,13.0,6.439350371100098,4.0,2.302585092994046,1.0,5.135798437050262,6.0,6.439350371100098,12.0,0.0,0.0,0.0,0.0,7.7736424198724405,6.518698194954728,5.256435992621213,5.078220005201365,11.666666666666666,8.4,-0.09860580775246941,-4.0
2025-11-29 03:44:00,4225,5,8.349011198176003,7.804251383528112,9.0,7.902857191280582,13.0,7.613818684808629,13.0,2.833213344056216,3.0,3.258096538021482,3.0,5.783825182329737,7.0,0.0,0.0,0.0,0.0,8.0187065909949,7.621857765778685,5.765527458636665,5.300069414838758,9.0,8.8,0.5447598146478905,-4.0
2025-11-29 03:45:00,1764,5,7.475905969367397,8.349011198176003,5.0,7.804251383528112,9.0,7.902857191280582,13.0,6.439350371100098,4.0,4.61512051684126,4.0,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,7.876389517023838,7.829168885432145,6.051606003889279,5.532204046104317,6.333333333333333,9.0,-0.8731052288086056,0.0
2025-11-29 03:46:00,196,6,5.2832037287379885,7.475905969367397,5.0,8.349011198176003,5.0,7.804251383528112,9.0,7.613818684808629,13.0,6.184148890937483,9.0,5.993961427306569,12.0,0.0,0.0,0.0,0.0,7.036040298760462,7.363045894218017,5.961511487669329,5.518910428296456,5.333333333333333,7.6,-2.1927022406294085,1.0
